geo_ne,,,,,,,,,,,,,
Symantec survey - May 2014,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. What is your title?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
"Principal (e.g., owner, founder, partner, CEO, president, etc.)",127,100.00%,,,,,,,,,,,
Vice President or Director,0,0.00%,,,,,,,,,,,
Manager,0,0.00%,,,,,,,,,,,
Individual contributor,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2. How many full-time employees does your company have?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
19-Jan,48,37.80%,,,,,,,,,,,
20-99,56,44.10%,,,,,,,,,,,
100-500,23,18.10%,,,,,,,,,,,
More than 500,0,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"3,468.00",,,,,,,,,,,,
Average,27.3,,,,,,,,,,,,
StdDev,35.2,,,,,,,,,,,,
Max,100,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3. What is your gender?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Male,68,55.30%,,,,,,,,,,,
Female,55,44.70%,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4. What is your age?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Under 18,0,0.00%,,,,,,,,,,,
18-34,28,22.10%,,,,,,,,,,,
35-49,49,38.60%,,,,,,,,,,,
50-64,37,29.10%,,,,,,,,,,,
Over 64,13,10.20%,,,,,,,,,,,
,,,,,,,,,,,,,
Statistics,,,,,,,,,,,,,
Sum,"4,069.00",,,,,,,,,,,,
Average,35.7,,,,,,,,,,,,
StdDev,12,,,,,,,,,,,,
Max,50,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5. In which state is your company headquartered?,,,,,,,,,,,,,
Value,Count,Percent,,,,,,,,,,,
Alabama,0,0.00%,,,,,,,,,,,
Alaska,0,0.00%,,,,,,,,,,,
Arizona,0,0.00%,,,,,,,,,,,
Arkansas,0,0.00%,,,,,,,,,,,
California,0,0.00%,,,,,,,,,,,
Colorado,0,0.00%,,,,,,,,,,,
Connecticut,8,6.30%,,,,,,,,,,,
Delaware,0,0.00%,,,,,,,,,,,
Florida,0,0.00%,,,,,,,,,,,
Georgia,0,0.00%,,,,,,,,,,,
Hawaii,0,0.00%,,,,,,,,,,,
Idaho,0,0.00%,,,,,,,,,,,
Illinois,0,0.00%,,,,,,,,,,,
Indiana,0,0.00%,,,,,,,,,,,
Iowa,0,0.00%,,,,,,,,,,,
Kansas,0,0.00%,,,,,,,,,,,
Kentucky,0,0.00%,,,,,,,,,,,
Louisiana,0,0.00%,,,,,,,,,,,
Maine,0,0.00%,,,,,,,,,,,
Maryland,0,0.00%,,,,,,,,,,,
Massachusetts,12,9.50%,,,,,,,,,,,
Michigan,0,0.00%,,,,,,,,,,,
Minnesota,0,0.00%,,,,,,,,,,,
Mississippi,0,0.00%,,,,,,,,,,,
Missouri,0,0.00%,,,,,,,,,,,
Montana,0,0.00%,,,,,,,,,,,
Nebraska,0,0.00%,,,,,,,,,,,
Nevada,0,0.00%,,,,,,,,,,,
New Hampshire,0,0.00%,,,,,,,,,,,
New Jersey,27,21.30%,,,,,,,,,,,
New Mexico,0,0.00%,,,,,,,,,,,
New York,49,38.60%,,,,,,,,,,,
North Carolina,0,0.00%,,,,,,,,,,,
